scope,d_sig,d_sil,d_total,rho_sig,rho_sil,sil_sig_ratio,ticker,sil_gt_sig
PKG,1,165,166,0.006024096385542169,0.9939759036144579,165.0,PKG,True
FICO,2,164,166,0.012048192771084338,0.9879518072289156,82.0,FICO,True
DRI,5,160,165,0.030303030303030304,0.9696969696969697,32.0,DRI,True
EQIX,2,162,164,0.012195121951219513,0.9878048780487805,81.0,EQIX,True
ICE,1,162,163,0.006134969325153374,0.9938650306748467,162.0,ICE,True
CMG,5,156,161,0.031055900621118012,0.968944099378882,31.2,CMG,True
CMS,1,159,160,0.00625,0.99375,159.0,CMS,True
VTRS,1,158,159,0.006289308176100629,0.9937106918238994,158.0,VTRS,True
TRMB,1,150,151,0.006622516556291391,0.9933774834437086,150.0,TRMB,True
TKO,2,145,147,0.013605442176870748,0.9863945578231292,72.5,TKO,True
CB,5,141,146,0.03424657534246575,0.9657534246575342,28.2,CB,True
CSGP,2,140,142,0.014084507042253521,0.9859154929577465,70.0,CSGP,True
NSC,0,136,136,0.0,1.0,inf,NSC,True
BF.B,2,133,135,0.014814814814814815,0.9851851851851852,66.5,BF.B,True
TPR,3,130,133,0.022556390977443608,0.9774436090225563,43.333333333333336,TPR,True
TMO,7,124,131,0.05343511450381679,0.9465648854961832,17.714285714285715,TMO,True
IBM,1,130,131,0.007633587786259542,0.9923664122137404,130.0,IBM,True
ADP,1,130,131,0.007633587786259542,0.9923664122137404,130.0,ADP,True
FITB,2,129,131,0.015267175572519083,0.9847328244274809,64.5,FITB,True
SHW,1,129,130,0.007692307692307693,0.9923076923076923,129.0,SHW,True
GILD,3,127,130,0.023076923076923078,0.9769230769230769,42.333333333333336,GILD,True
TROW,19,109,128,0.1484375,0.8515625,5.7368421052631575,TROW,True
TSCO,1,127,128,0.0078125,0.9921875,127.0,TSCO,True
KVUE,5,123,128,0.0390625,0.9609375,24.6,KVUE,True
MRK,2,126,128,0.015625,0.984375,63.0,MRK,True
ALGN,1,126,127,0.007874015748031496,0.9921259842519685,126.0,ALGN,True
APA,3,122,125,0.024,0.976,40.666666666666664,APA,True
RL,2,122,124,0.016129032258064516,0.9838709677419355,61.0,RL,True
ALL,1,118,119,0.008403361344537815,0.9915966386554622,118.0,ALL,True
TFC,1,116,117,0.008547008547008548,0.9914529914529915,116.0,TFC,True
DHR,3,109,112,0.026785714285714284,0.9732142857142857,36.333333333333336,DHR,True
IDXX,2,109,111,0.018018018018018018,0.9819819819819819,54.5,IDXX,True
MGM,2,107,109,0.01834862385321101,0.981651376146789,53.5,MGM,True
VST,1,104,105,0.009523809523809525,0.9904761904761905,104.0,VST,True
ANET,3,100,103,0.02912621359223301,0.970873786407767,33.333333333333336,ANET,True
APD,4,99,103,0.038834951456310676,0.9611650485436893,24.75,APD,True
F,3,99,102,0.029411764705882353,0.9705882352941176,33.0,F,True
EXR,17,82,99,0.1717171717171717,0.8282828282828283,4.823529411764706,EXR,True
LIN,1,96,97,0.010309278350515464,0.9896907216494846,96.0,LIN,True
APO,0,96,96,0.0,1.0,inf,APO,True
